article,german,level,category,plural,chapter,duolingo
,deutsch,A1,Adjective,,,1
,frisch,A2,Adjective,,,1
,genau,B2,Adjective,,,1
,gut,A1,Adjective,,1.2,1
,klar,A1,Adjective,,1.5,1
,lecker,B1,Adjective,,1.6,1
,süß,A2,Adjective,,1.3,1
,später,B2,Adjective,,1.8,1
,willkommen,A1,Adjective,,1.1,1
,bald,B1,Adverb,,,1
,bitte,,Adverb,,1.8,1
,leider,,Adverb,,2.1,1
,morgen,,Adverb,,1.5,1
,und,,Conjunction,,1.1,1
,danke,,Interjection,,,1
,hallo,,Interjection,,,1
,tschüss,,Interjection,,,1
das,Öl,A1,Noun,Öle,,1
der,Abend,A1,Noun,Abende,1.1,1
die,Ahnung,A2,Noun,Ahnungen,,1
der,Apfel,A1,Noun,Äpfel,1.6,1
der,Apfelsaft,A1,Noun,Apfelsäfte,1.6,1
der,Bär,A2,Noun,Bären,,1
die,Banane,A1,Noun,Bananen,1.6,1
die,Biene,B1,Noun,Bienen,,1
das,Bier,A1,Noun,Biere,,1
das,Brot,A1,Noun,Brote,1.6,1
das,Buch,A1,Noun,Bücher,1.7,1
das,Deutsch,A1,Noun,,1.2,1
das,Deutschland,A1,Noun,,,1
der,Durst,,Noun,,,1
das,Ei,A1,Noun,Eier,,1
das,Eis,A2,Noun,Eis,1.6,1
das,Englisch,A1,Noun,,1.2,1
die,Ente,B2,Noun,Enten,,1
die,Entschuldigung,A1,Noun,Entschuldigungen,1.1,1
die,Erdbeere,A1,Noun,Erdbeeren,,1
das,Essen,A1,Noun,Essen,,1
das,Europa,A1,Noun,,1.4,1
der,Fisch,A1,Noun,Fische,1.4,1
das,Fleisch,A1,Noun,,,1
die,Fliege,,Noun,Fliegen,,1
die,Frau,A1,Noun,Frauen,1.1,1
das,Gemüse,A1,Noun,Gemüse,,1
das,Haustier,,Noun,Haustiere,1.4,1
der,Hund,A1,Noun,Hunde,1.4,1
der,Hunger,A1,Noun,,1.4,1
das,Insekt,A1,Noun,Insekten,,1
der,Junge,A1,Noun,Jungen,1.2,1
der,Käfer,B2,Noun,Käfer,,1
der,Käse,A2,Noun,Käse,1.6,1
der,Kaffee,A1,Noun,Kaffees,,1
die,Kartoffel,,Noun,Kartoffeln,,1
die,Katze,A2,Noun,Katzen,1.4,1
das,Kind,A1,Noun,Kinder,1.3,1
die,Kuh,A1,Noun,Kühe,1.4,1
das,Mädchen,A1,Noun,Mädchen,1.2,1
der,Mann,A1,Noun,Männer,,1
die,Maus,A1,Noun,Mäuse,1.4,1
die,Milch,A1,Noun,,,1
der,Morgen,A1,Noun,Morgen,1.1,1
die,Nacht,A1,Noun,Nächte,1.1,1
die,Nudel,B2,Noun,Nudeln,,1
das,Obst,A1,Noun,,1.6,1
die,Orange,A2,Noun,Orangen,1.6,1
der,Orangensaft,,Noun,Orangensäfte,1.6,1
das,Pferd,A2,Noun,Pferde,1.4,1
die,Pizza,A2,Noun,Pizzas,,1
der,Reis,A1,Noun,,,1
der,Saft,A1,Noun,Säfte,1.6,1
das,Salz,A1,Noun,Salze,,1
die,Schokolade,A2,Noun,Schokoladen,,1
das,Schwein,A2,Noun,Schweine,1.4,1
die,Spinne,B2,Noun,Spinnen,1.4,1
die,Suppe,A2,Noun,Suppen,,1
der,Tag,A1,Noun,Tage,1.1,1
der,Tee,A1,Noun,Tees,,1
das,Tier,A2,Noun,Tiere,1.4,1
der,Vogel,A1,Noun,Vögel,1.4,1
das,Wasser,A1,Noun,Wasser,1.6,1
der,Wein,A1,Noun,Weine,,1
die,Zeitung,A1,Noun,Zeitungen,,1
der,Zucker,A2,Noun,Zucker,,1
,ja,,Particle,,1.1,1
,nein,,Particle,,1.1,1
,aus,,Preposition,,1.3,1
,bis,,Preposition,,1.8,1
,alle,A1,Pronoun,,1.5,1
,essen,A1,Verb,,1.4,1
,fressen,B2,Verb,,,1
,haben,A1,Verb,,1.4,1
,heißen,A1,Verb,,1.1,1
,kommen,A1,Verb,,1.3,1
,lesen,A1,Verb,,1.5,1
,schmecken,A1,Verb,,,1
,sein,A1,Verb,,1.2,1
,sprechen,A1,Verb,,,1
,trinken,A1,Verb,,1.4,1
,verstehen,A1,Verb,,,1
,alt,A1,Adjective,,,2
,einfach,A1,Adjective,,,2
,fertig,A1,Adjective,,,2
,frei,A1,Adjective,,1.5,2
,gesund,A2,Adjective,,1.6,2
,groß,A1,Adjective,,1.3,2
,heiß,A1,Adjective,,,2
,hoch,A1,Adjective,,1.8,2
